number,background,beard,dress,eyes,eyewear,face,head,skin,selected
39,yellow,rhodes,none,zobro,none,party,hell,tiger,no
40,mint,austin,track,btc,none,naples,panama,alien,no
41,orange,none,la,zobro,matrix,nyc,hell,ape,no
42,teal,tehran,jobs,zobro,none,sic,ride,ink,no
43,green,muscat,airforce,what,love,sic,king,plain,no
44,brown,none,la,bro,vision,havana,punk,machine,no
45,red,moscow,hawaii,bro,vision,tobacco,pirate,trippy,no
46,teal,none,naruto,zobro,potter,smile,military,plain,no
47,yellow,austin,btc,bro,vegas,nyc,music,tiger,no
48,mint,muscat,night,what,android,smile,nj,dalmation,no
49,red,tehran,knight,bro,none,cheeky,crete,trippy,no
50,yellow,none,jdh,bro,android,nyc,army,zombie,no
51,orange,nice,poker,where,office,gurgaon,pop,plain,no
52,red,none,agra,bro,potter,sic,taproot,dmt,no
53,brown,muscat,jdh,eth,none,love,none,machine,no
54,brown,muscat,cold,what,3d,bigo,sumo,trippy,no
55,brown,none,virginia,sus,office,love,crete,plain,no
56,green,austin,none,bro,none,naples,belair,plain,no
57,yellow,hulk,space,where,matrix,420,bravo,avatar,no
58,dark-green,none,zobro,where,love,naples,food,plain,no
59,red,nice,none,btc,none,bigo,military,alien,no
60,yellow,none,none,bro,android,lol,sumo,plain,no
61,teal,none,jobs,what,none,nyc,aantonop,avatar,no
62,green,hulk,bavaria,bro,office,cheeky,cairo,plain,no
63,purple,none,malibu,zobro,gandhi,lol,nj,ink,no
64,mint,muscat,king,bro,love,cheeky,panama,ink,no
65,teal,muscat,fairbanks,bro,tech,cheeky,kazan,plain,no
66,dark-green,muscat,space,bro,party,seville,monk,trippy,no
67,blue,none,none,gotcha,none,love,none,machine,no
68,orange,austin,guantanamo,happy,party,cheeky,zoro,avatar,no
69,purple,austin,cupid,bro,miami,lol,kazan,dmt,no
70,brown,none,guest,bro,none,seville,music,machine,no
71,mint,none,jobs,sus,android,smile,crete,plain,no
72,green,rhodes,puffer,sus,none,sic,army,zombie,no
73,teal,none,hack,sus,none,smile,none,dalmation,no
74,teal,none,guest,sic,vegas,tobacco,alabama,ink,no
75,orange,none,ride,where,none,havana,king,dalmation,no
76,teal,none,rich,eth,none,smile,devil,avatar,no
77,mint,none,king,where,xmen,lol,oregon,plain,no
78,orange,none,jdh,fire,gold,sic,travolta,trippy,no
79,mint,tehran,navy,sus,none,candy,noogle,dalmation,no
80,red,none,samurai,sus,gold,smile,taproot,dalmation,no
81,purple,tehran,none,sus,none,bigo,zoro,trippy,no
82,red,rhodes,gold,sic,gandhi,nyc,sparta,dalmation,no
83,blue,nice,rio,zobro,gandhi,party,army,ape,no
84,teal,none,kill,zobro,gandhi,bigo,jerusalem,tiger,no
85,purple,none,rich,gotcha,3d,love,jerusalem,plain,no
86,yellow,nice,zobro,happy,miami,mexico,noogle,tiger,no
87,red,muscat,btc,sus,vegas,gurgaon,punk,plain,no
88,teal,none,btc,love,matrix,love,fireman,ink,no
89,teal,nice,zobro,what,love,smile,military,tiger,no
90,green,tehran,king,fire,office,bigo,military,tiger,no
91,green,hulk,dead,happy,none,love,pop,avatar,no
92,teal,none,sailor,happy,office,smile,food,plain,no
93,teal,tehran,eminem,bro,gandhi,smile,none,trippy,no
94,yellow,tehran,nyc,bro,office,bigo,taproot,panda,no
95,green,none,naruto,dead,potter,gurgaon,vegas,tiger,no
96,purple,rhodes,gala,where,none,havana,army,tiger,no
97,dark-green,moscow,law,happy,potter,mexico,london,alien,no
98,blue,none,none,btc,none,party,paris,trippy,no
99,green,muscat,ride,lost,none,lol,none,ink,no
100,blue,none,zion,sic,vision,naples,ride,trippy,no
101,blue,none,venice,gotcha,android,nyc,sparta,machine,no
102,red,hulk,la,sus,none,gurgaon,none,machine,no
103,blue,none,farming,lost,gandhi,nyc,ride,machine,no
104,yellow,none,malaga,bro,miami,seville,punk,dmt,no
105,blue,muscat,army,dead,gandhi,seville,none,plain,no
106,blue,hulk,lol,sic,pirate,420,zoro,avatar,no
107,yellow,nice,bavaria,where,none,love,sparta,plain,no
108,yellow,austin,kobe,fire,tech,naples,nj,avatar,no
109,red,hulk,agra,eth,none,smile,paris,plain,no
110,teal,austin,agra,sus,love,cheeky,vegas,avatar,no
111,yellow,muscat,hawaii,gotcha,vegas,smile,angel,plain,no
112,green,none,venice,gotcha,gold,smile,pop,avatar,no
113,dark-green,washington,lol,bro,gold,love,king,avatar,no
114,orange,washington,none,happy,pirate,smile,london,machine,no
115,green,none,taipei,happy,pirate,love,zoro,zombie,no
116,teal,none,la,btc,none,havana,rico,trippy,no
117,blue,none,amsterdam,zobro,3d,candy,punk,gold,no
118,orange,nice,airforce,bro,none,cheeky,nj,dmt,no
119,orange,lebanon,gold,gotcha,gandhi,naples,monk,dalmation,no
120,orange,lebanon,saul,sus,potter,420,sumo,trippy,no
121,teal,rhodes,none,happy,pirate,smile,belair,machine,no
122,mint,muscat,none,happy,gandhi,love,pirate,ink,no
123,green,muscat,guest,fire,thug,smile,belair,plain,no
124,green,none,none,sic,tech,bigo,army,gold,no
125,green,rhodes,party,happy,none,candy,alabama,tiger,no
126,dark-green,muscat,hack,bro,gandhi,candy,none,ink,no
127,red,none,hack,bro,thug,bigo,none,plain,no
128,red,lebanon,boston,bro,gold,vape,alabama,tiger,no
129,orange,lebanon,samurai,eth,none,naples,bingham,plain,no
130,mint,moscow,none,happy,vegas,havana,bingham,plain,no
131,brown,muscat,none,zobro,tech,smile,bravo,tiger,no
132,orange,muscat,jdh,gotcha,tech,cheeky,monk,plain,no
133,green,muscat,none,bro,xmen,sic,sumo,avatar,no
134,blue,hulk,none,bro,party,naples,ride,zombie,no
135,green,none,dead,eth,none,love,golf,plain,no
136,yellow,none,lahore,zobro,gandhi,sic,kazan,ink,no
137,green,rhodes,zobro,what,thug,sic,kazan,ink,no
138,red,hulk,zobro,what,none,smile,pods,zombie,no
139,blue,austin,eminem,what,pirate,nyc,none,plain,no
140,yellow,tehran,gold,what,xmen,lol,panama,trippy,no
141,brown,none,cupid,happy,miami,candy,nyc,alien,no
142,yellow,none,popeye,lost,android,nyc,bravo,tiger,no
143,green,none,party,happy,party,naples,fireman,trippy,no
144,teal,none,navy,zobro,none,lol,nyc,dalmation,no
145,yellow,rhodes,space,zobro,none,naples,music,plain,no
146,brown,none,la,gotcha,thug,naples,punk,trippy,no
147,mint,none,none,sus,vision,lol,aantonop,dalmation,no
148,purple,none,virginia,zobro,none,love,minnesota,avatar,no
149,purple,none,la,gotcha,gandhi,mexico,taproot,ink,no
150,blue,none,none,gotcha,matrix,vape,pirate,avatar,no
151,green,none,kermit,btc,none,cheeky,dream,trippy,no
152,teal,lebanon,kill,dead,none,lol,mexico,machine,no
153,blue,hulk,none,happy,none,cheeky,ride,ink,no
154,red,rhodes,malibu,bro,gold,lol,golf,avatar,no
155,teal,lebanon,puffer,what,none,vape,paris,alien,no
156,purple,washington,puffer,btc,none,love,devil,avatar,no
157,brown,rhodes,boston,btc,none,gurgaon,oregon,dalmation,no
158,blue,none,jobs,dead,none,cheeky,pirate,plain,no
159,orange,nice,venice,happy,android,lol,popeye,avatar,no
160,green,nice,eminem,bro,love,party,none,ink,no
161,red,none,guantanamo,gotcha,vegas,holmes,crete,tiger,no
162,blue,none,space,sic,android,smile,ride,trippy,no
163,teal,none,monaco,bro,thug,gurgaon,minnesota,alien,no
164,mint,none,none,fire,vegas,cheeky,nj,dalmation,no
165,brown,lebanon,army,happy,party,havana,bravo,tiger,no
166,dark-green,none,ninja,fire,none,cheeky,army,alien,no
167,blue,none,jdh,bro,pirate,holmes,ride,machine,no
168,dark-green,austin,amazon,what,xmen,smile,aantonop,ink,no
169,teal,muscat,taipei,where,party,lol,nyc,ink,no
170,orange,none,hack,gotcha,thug,sic,none,machine,no
171,blue,austin,king,lost,tech,gurgaon,pirate,ink,no
172,orange,nice,fairbanks,gotcha,party,mexico,punk,dmt,no
173,yellow,muscat,track,love,zorro,candy,mexico,dalmation,no
174,brown,none,agra,zobro,none,party,bingham,plain,no
175,yellow,none,sicily,bro,miami,bigo,samurai,tiger,no
176,mint,muscat,rich,love,potter,cheeky,food,zombie,no
177,orange,austin,none,happy,potter,party,minnesota,dalmation,no
178,green,tehran,naruto,gotcha,android,bigo,scotland,trippy,no
179,green,none,jobs,what,none,havana,monk,trippy,no
180,brown,none,samurai,dead,tech,tobacco,food,tiger,no
181,purple,none,saul,sic,android,sic,rico,tiger,no
182,mint,none,venice,where,potter,lol,king,dmt,no
183,yellow,rhodes,fairbanks,bro,thug,naples,ride,tiger,no
184,orange,muscat,nyc,what,vegas,cheeky,nyc,plain,no
185,teal,hulk,none,bro,none,love,pirate,trippy,no
186,teal,none,king,dead,none,smile,angel,dalmation,no
187,green,muscat,none,where,vegas,bigo,music,ape,no
188,yellow,none,none,gotcha,office,love,rico,avatar,no
189,blue,washington,sailor,happy,vegas,cheeky,rico,dalmation,no
190,yellow,none,lahore,sus,vision,love,travolta,plain,no
191,red,austin,lol,bro,none,bigo,panama,dalmation,no
192,blue,none,rio,what,miami,naples,jerusalem,plain,no
193,yellow,nice,eminem,btc,none,holmes,none,alien,no
194,purple,none,rio,what,gandhi,love,kazan,trippy,no
195,blue,muscat,bavaria,zobro,none,sic,rico,plain,no
196,yellow,washington,boston,where,none,gurgaon,devil,plain,no
197,brown,none,airforce,fire,none,lol,nj,plain,no
198,red,none,none,gotcha,none,smile,sumo,machine,no
199,brown,none,bavaria,where,tech,gurgaon,pods,alien,no
200,mint,none,hack,dead,party,smile,none,avatar,no
201,brown,none,malibu,bro,zorro,smile,nyc,trippy,no
202,purple,none,smart,bro,love,sic,london,plain,no
203,orange,none,rich,bro,none,naples,sparta,zombie,no
204,mint,none,la,bro,matrix,naples,paris,tiger,no
205,teal,muscat,sailor,gotcha,matrix,smile,travolta,avatar,no
206,dark-green,none,cupid,gotcha,zorro,vape,vegas,panda,no
207,orange,austin,jobs,bro,miami,love,pop,dalmation,no
208,red,none,guest,happy,zorro,lol,food,plain,no
209,teal,none,eminem,what,potter,bigo,none,avatar,no
210,green,washington,agra,sic,none,smile,none,tiger,no
211,brown,tehran,party,sus,none,candy,fireman,avatar,no
212,green,lebanon,popeye,lost,office,party,army,avatar,no
213,brown,none,bull,gotcha,none,smile,aantonop,dmt,no
214,brown,none,none,happy,matrix,naples,bravo,plain,no
215,green,nice,sicily,sus,office,lol,pop,avatar,no
216,purple,washington,none,happy,none,naples,army,dmt,no
217,brown,none,space,gotcha,android,smile,dream,plain,no
218,blue,tehran,ninja,fire,none,bigo,travolta,zombie,no
219,purple,none,none,happy,thug,lol,ride,plain,no
220,brown,none,boston,what,android,lol,noogle,zombie,no
221,brown,none,guantanamo,zobro,matrix,lol,food,machine,no
222,blue,none,agra,bro,zorro,gurgaon,none,tiger,no
223,purple,none,none,lost,machine,gurgaon,mexico,plain,no
224,mint,hulk,guest,bro,vision,lol,alabama,panda,no
225,teal,washington,eminem,fire,gandhi,smile,none,dalmation,no
226,red,muscat,rich,love,3d,lol,belair,ink,no
227,teal,muscat,none,love,none,seville,zoro,tiger,no
228,green,none,gala,happy,thug,nyc,pirate,plain,no
229,purple,nice,rio,bro,thug,candy,devil,dmt,no
230,red,washington,guest,bro,none,sic,bravo,plain,no
231,dark-green,none,jobs,where,potter,love,noogle,plain,no
232,dark-green,hulk,zobro,sic,gandhi,naples,messi,trippy,no
233,green,austin,airforce,love,party,cheeky,bravo,dmt,no
234,blue,none,amsterdam,sus,thug,love,military,zombie,no
235,brown,tehran,lahore,bro,tech,lol,messi,gold,no
236,mint,rhodes,btc,zobro,none,love,golf,trippy,no
237,red,rhodes,zobro,zobro,office,candy,minnesota,tiger,no
238,teal,muscat,agra,where,office,gurgaon,dream,dalmation,no
239,dark-green,none,hack,gotcha,office,smile,none,plain,no
240,yellow,none,jobs,zobro,none,sic,london,trippy,no
241,red,tehran,none,bro,xmen,smile,aantonop,dmt,no
242,dark-green,tehran,none,bro,none,smile,pop,plain,no
243,brown,lebanon,none,zobro,matrix,smile,oregon,trippy,no
244,brown,tehran,smart,bro,none,naples,nj,dmt,no
245,purple,none,jordan,sic,tech,cheeky,travolta,machine,no
246,green,lebanon,mib,bro,love,love,none,dalmation,no
247,orange,nice,la,what,vegas,smile,belair,dmt,no
248,dark-green,muscat,sicily,happy,office,naples,king,ink,no
249,yellow,none,taipei,gotcha,gold,bigo,hell,dalmation,no
250,dark-green,tehran,hawaii,bro,love,smile,london,dalmation,no
251,blue,moscow,monaco,dead,none,holmes,paris,plain,no
252,dark-green,moscow,bavaria,fire,gold,lol,none,tiger,no
253,mint,muscat,army,btc,none,smile,dream,plain,no
254,mint,nice,hawaii,happy,none,lol,vegas,trippy,no
255,blue,washington,night,eth,none,smile,messi,gold,no
256,dark-green,tehran,zobro,bro,3d,holmes,bravo,dalmation,no
257,brown,none,bull,fire,gold,naples,jerusalem,avatar,no
258,brown,muscat,btc,happy,none,mexico,pirate,plain,no
259,dark-green,hulk,king,fire,xmen,candy,minnesota,ink,no
260,blue,nice,la,happy,zorro,smile,pop,plain,no
261,purple,none,shinobi,sus,android,sic,none,avatar,no
262,blue,rhodes,army,what,gold,smile,aantonop,plain,no
263,purple,nice,jordan,fire,gandhi,smile,none,plain,no
264,mint,washington,airforce,dead,machine,bigo,music,dalmation,no
265,teal,none,none,happy,none,smile,ninja,machine,no
266,green,none,navy,what,thug,candy,bravo,dalmation,no
267,red,austin,bavaria,happy,potter,sic,none,avatar,no
268,yellow,muscat,hack,love,gandhi,cheeky,none,alien,no
269,purple,none,naruto,where,thug,nyc,bingham,ape,no
270,orange,none,army,happy,office,sic,pirate,ink,no
271,yellow,rhodes,la,bro,gandhi,smile,queen,dalmation,no
272,brown,washington,track,sic,miami,love,ride,plain,no
273,yellow,nice,guantanamo,sic,potter,party,crete,ink,no
274,mint,none,navy,zobro,potter,sic,fireman,trippy,no
275,green,none,samurai,sus,gold,bigo,london,plain,no
276,green,none,eminem,love,love,candy,none,dalmation,no
277,orange,muscat,none,bro,love,naples,ride,ape,no
278,green,none,la,gotcha,xmen,lol,scotland,gold,no
279,yellow,rhodes,fairbanks,gotcha,potter,smile,ride,alien,no
280,mint,muscat,zion,gotcha,tech,party,food,plain,no
281,teal,hulk,wallst,btc,none,smile,king,tiger,no
282,purple,nice,la,bro,potter,love,king,trippy,no
283,blue,none,knight,love,none,cheeky,monk,plain,no
284,orange,muscat,dead,bro,pirate,smile,food,machine,no
285,orange,none,la,sus,3d,naples,vegas,dmt,no
286,yellow,none,bavaria,bro,none,party,panama,tiger,no
287,yellow,moscow,hawaii,sus,thug,nyc,pirate,plain,no
288,mint,nice,airforce,fire,none,love,army,zombie,no
289,green,tehran,none,lost,vegas,gurgaon,golf,ink,no
290,teal,washington,cupid,love,xmen,smile,minnesota,panda,no
291,red,lebanon,taipei,zobro,tech,nyc,hell,dmt,no
292,purple,none,jdh,dead,android,lol,sparta,tiger,no
293,dark-green,nice,jdh,where,party,smile,panama,avatar,no
294,blue,lebanon,none,what,zorro,bigo,bravo,tiger,no
295,brown,none,malaga,happy,gandhi,smile,pods,trippy,no
296,red,none,malibu,btc,none,cheeky,pirate,plain,no
297,purple,none,amazon,gotcha,thug,bigo,rico,tiger,no
298,mint,rhodes,rio,love,thug,love,food,plain,no
299,mint,muscat,space,bro,gandhi,smile,aantonop,alien,no
300,purple,tehran,btc,bro,potter,love,popeye,plain,no
301,teal,washington,zobro,fire,none,naples,monk,ink,no
302,red,none,rio,happy,xmen,holmes,ride,dalmation,no
303,blue,none,mumbai,dead,party,naples,monk,plain,no
304,orange,tehran,kobe,where,pirate,cheeky,ninja,trippy,no
305,red,muscat,agra,what,thug,lol,music,tiger,no
306,red,none,night,gotcha,potter,lol,sparta,plain,no
307,dark-green,washington,eminem,happy,vegas,sic,none,tiger,no
308,teal,hulk,night,bro,office,bigo,nyc,alien,no
309,purple,austin,sicily,happy,vegas,naples,oregon,ape,no
310,brown,none,virginia,fire,party,sic,ride,plain,no
311,mint,none,party,bro,android,naples,rico,plain,no
312,teal,none,space,happy,none,nyc,samurai,ink,no
313,red,hulk,cold,bro,xmen,bigo,punk,avatar,no
314,yellow,moscow,space,gotcha,party,gurgaon,belair,plain,no
315,red,washington,la,bro,love,love,sumo,machine,no
316,orange,tehran,taipei,bro,gandhi,gurgaon,bravo,avatar,no
317,purple,washington,amazon,gotcha,matrix,naples,hell,plain,no
318,dark-green,none,smart,gotcha,party,mexico,fireman,plain,no
319,mint,rhodes,navy,gotcha,thug,lol,ride,trippy,no
320,blue,none,farming,fire,gandhi,party,alabama,plain,no
321,orange,lebanon,none,where,vegas,bigo,jerusalem,plain,no
322,brown,hulk,agra,gotcha,office,party,minnesota,avatar,no
323,brown,nice,sailor,bro,zorro,bigo,alabama,trippy,no
324,teal,none,law,gotcha,zorro,lol,noogle,ink,no
325,mint,tehran,knight,bro,potter,love,belair,plain,no
326,green,tehran,naruto,sic,zorro,smile,travolta,ink,no
327,blue,moscow,none,fire,zorro,love,dream,zombie,no
328,teal,none,naruto,sic,machine,nyc,pop,ink,no
329,brown,none,cupid,lost,gandhi,smile,military,panda,no
330,teal,none,venice,zobro,miami,nyc,devil,trippy,no
331,teal,lebanon,army,btc,none,love,none,ink,no
332,brown,tehran,rich,btc,none,420,sumo,avatar,no
333,blue,none,cold,what,party,cheeky,none,gold,no
334,orange,none,none,bro,potter,naples,kazan,plain,no
335,dark-green,none,none,happy,machine,cheeky,pirate,plain,no
336,yellow,rhodes,none,bro,party,cheeky,music,plain,no
337,red,washington,hack,bro,vision,bigo,none,dalmation,no
338,red,washington,gold,what,xmen,smile,belair,tiger,no
339,green,none,airforce,bro,vegas,lol,bingham,alien,no
340,orange,none,hack,happy,zorro,nyc,none,zombie,no
341,teal,none,cupid,bro,vision,naples,kazan,dmt,no
342,green,rhodes,cupid,zobro,3d,sic,none,zombie,no
343,purple,austin,gala,sus,matrix,gurgaon,ride,avatar,no
344,purple,muscat,kermit,gotcha,matrix,bigo,taproot,ink,no
345,teal,washington,smart,where,android,bigo,nj,ink,no
346,dark-green,washington,none,bro,vision,seville,food,zombie,no
347,dark-green,austin,bull,bro,vegas,lol,cairo,zombie,no
348,red,none,none,bro,none,gurgaon,sparta,dalmation,no
349,mint,none,airforce,bro,party,lol,monk,dmt,no
350,yellow,none,army,dead,3d,naples,nyc,dalmation,no
351,orange,nice,jdh,happy,matrix,cheeky,military,plain,no
352,yellow,rhodes,dead,btc,none,vape,kazan,trippy,no
353,red,none,malibu,where,3d,seville,messi,zombie,no
354,brown,none,rich,sus,none,lol,food,dalmation,no
355,purple,austin,amazon,sus,gandhi,cheeky,punk,avatar,no
356,purple,none,monaco,bro,gandhi,bigo,belair,tiger,no
357,teal,none,none,zobro,gandhi,party,samurai,alien,no
358,red,none,ninja,bro,tech,smile,dream,plain,no
359,mint,none,monaco,love,vegas,420,alabama,plain,no
360,orange,none,agra,gotcha,none,nyc,oregon,dmt,no
361,blue,none,ninja,gotcha,matrix,smile,london,dmt,no
362,mint,moscow,knight,bro,office,havana,mexico,ink,no
363,green,nice,jordan,bro,office,love,zoro,gold,no
364,brown,austin,eminem,love,pirate,vape,none,tiger,no
365,purple,none,poker,sus,tech,lol,punk,plain,no
366,blue,moscow,rich,what,matrix,smile,ride,dalmation,no
367,mint,none,space,where,potter,love,mexico,avatar,no
368,purple,tehran,eminem,where,tech,lol,none,gold,no
369,blue,none,zobro,zobro,machine,smile,queen,machine,no
370,mint,lebanon,guantanamo,bro,none,cheeky,popeye,ink,no
371,green,washington,jordan,what,zorro,cheeky,kazan,ink,no
372,teal,hulk,hawaii,happy,pirate,tobacco,cairo,plain,no
373,purple,tehran,none,bro,party,gurgaon,food,zombie,no
374,yellow,muscat,jordan,where,office,sic,paris,ink,no
375,orange,nice,rich,sic,pirate,seville,paris,dmt,no
376,purple,moscow,cold,happy,tech,smile,rico,gold,no
377,teal,nice,zion,lost,none,love,panama,plain,no
378,orange,none,samurai,zobro,office,havana,monk,panda,no
379,teal,washington,taipei,lost,vegas,smile,none,ink,no
380,purple,nice,space,gotcha,office,naples,messi,plain,no
381,yellow,none,agra,happy,party,lol,minnesota,alien,no
382,blue,austin,jdh,fire,tech,love,ride,plain,no
383,brown,none,fairbanks,love,party,lol,cairo,trippy,no
384,red,lebanon,army,love,none,candy,pop,dmt,no
385,orange,none,army,sus,gold,nyc,pods,tiger,no
386,red,none,none,love,android,lol,mexico,ape,no
387,green,none,none,bro,zorro,420,rico,plain,no
388,blue,none,lahore,fire,matrix,420,london,dalmation,no
389,yellow,none,jordan,bro,tech,smile,travolta,plain,no
390,teal,tehran,eminem,zobro,office,lol,none,trippy,no
391,red,none,gala,btc,none,vape,king,plain,no
392,orange,lebanon,boston,love,office,smile,rico,plain,no
393,dark-green,lebanon,sailor,sic,gandhi,cheeky,military,ape,no
394,purple,none,lol,happy,miami,smile,angel,tiger,no
395,brown,austin,knight,zobro,vision,cheeky,sparta,dmt,no
396,blue,none,king,sus,xmen,lol,dream,dalmation,no
397,green,hulk,hawaii,btc,none,smile,bingham,plain,no
398,red,none,none,happy,matrix,lol,zoro,plain,no
399,blue,hulk,gold,bro,machine,smile,none,tiger,no
400,mint,none,hawaii,sic,potter,love,bravo,ink,no
401,red,none,gold,sus,gold,smile,pods,avatar,no
402,blue,muscat,eminem,sus,android,smile,none,dalmation,no
403,orange,muscat,shinobi,zobro,machine,candy,aantonop,dmt,no
404,teal,none,farming,bro,gandhi,smile,kazan,alien,no
405,purple,none,poker,happy,none,lol,ninja,dalmation,no
406,teal,lebanon,none,gotcha,pirate,lol,minnesota,plain,no
407,teal,none,malaga,lost,none,holmes,king,trippy,no
408,red,none,la,where,matrix,holmes,panama,dalmation,no
409,dark-green,none,airforce,lost,zorro,gurgaon,travolta,dalmation,no
410,red,none,kermit,sic,none,smile,food,alien,no
411,purple,nice,popeye,fire,none,naples,zoro,plain,no
412,brown,none,none,lost,zorro,love,vegas,tiger,no
413,blue,muscat,taipei,sus,matrix,tobacco,ride,avatar,no
414,mint,none,monaco,happy,matrix,party,bravo,plain,no
415,yellow,none,virginia,sic,miami,nyc,none,avatar,no
416,purple,tehran,jobs,sic,party,cheeky,aantonop,gold,no
417,teal,tehran,monaco,happy,office,smile,food,dalmation,no
418,blue,muscat,none,bro,gold,tobacco,mexico,ink,no
419,green,none,sailor,eth,none,naples,fireman,plain,no
420,dark-green,none,kermit,sus,none,smile,oregon,plain,no
421,teal,none,army,fire,android,lol,zoro,plain,no
422,orange,hulk,agra,love,xmen,bigo,crete,tiger,no
423,green,none,jobs,bro,pirate,naples,golf,avatar,no
424,dark-green,rhodes,none,zobro,potter,bigo,travolta,ink,no
425,green,muscat,track,bro,none,cheeky,angel,ink,no
426,green,tehran,zion,fire,xmen,cheeky,paris,ink,no
427,brown,austin,samurai,happy,none,naples,king,tiger,no
428,red,none,space,fire,love,party,noogle,avatar,no
429,green,none,amazon,bro,love,smile,mexico,plain,no
430,blue,lebanon,kill,zobro,zorro,sic,military,plain,no
431,brown,moscow,mumbai,btc,none,candy,paris,trippy,no
432,blue,austin,space,bro,none,lol,messi,avatar,no
433,dark-green,rhodes,space,bro,tech,love,mexico,ink,no
434,blue,nice,bavaria,what,3d,lol,noogle,gold,no
435,blue,muscat,sicily,love,party,bigo,oregon,panda,no
436,red,none,army,where,love,smile,bingham,dmt,no
437,teal,muscat,btc,what,love,smile,travolta,plain,no
438,mint,tehran,rio,bro,xmen,naples,athens,dmt,no
439,blue,none,night,btc,none,candy,bingham,avatar,no
440,brown,moscow,amsterdam,what,xmen,party,nyc,ape,no
441,teal,none,none,gotcha,party,lol,samurai,plain,no
442,orange,none,rich,where,tech,cheeky,oregon,zombie,no
443,teal,muscat,cupid,btc,none,sic,travolta,tiger,no
444,green,moscow,kobe,gotcha,none,gurgaon,ride,panda,no
445,dark-green,none,none,dead,android,cheeky,sumo,tiger,no
446,purple,washington,malaga,happy,none,bigo,army,tiger,no
447,purple,rhodes,eminem,sus,miami,sic,none,tiger,no
448,yellow,austin,zobro,bro,tech,cheeky,music,zombie,no
449,brown,muscat,fairbanks,sus,none,nyc,bingham,tiger,no
450,blue,none,law,bro,love,smile,pop,avatar,no
451,teal,none,jdh,zobro,party,lol,army,ink,no
452,teal,nice,venice,bro,xmen,love,london,gold,no
453,red,tehran,none,zobro,matrix,smile,bingham,machine,no
454,orange,none,samurai,bro,party,lol,dream,avatar,no
455,brown,muscat,kill,happy,gandhi,seville,music,dmt,no
456,teal,austin,boston,gotcha,miami,smile,bravo,tiger,no
457,orange,none,samurai,sus,party,lol,belair,tiger,no
458,red,none,la,happy,gold,naples,samurai,plain,no
459,teal,lebanon,navy,happy,none,lol,rico,plain,no
460,blue,austin,none,happy,none,gurgaon,military,ink,no
461,blue,moscow,malibu,love,miami,sic,queen,machine,no
462,orange,tehran,none,eth,none,havana,pirate,ape,no
463,red,none,army,bro,party,nyc,none,dalmation,no
464,mint,hulk,track,what,vegas,smile,food,ape,no
465,mint,muscat,agra,bro,zorro,candy,bravo,plain,no
466,purple,none,samurai,lost,office,smile,dream,ink,no
467,red,rhodes,none,gotcha,none,smile,minnesota,plain,no
468,dark-green,none,zobro,love,xmen,candy,mexico,tiger,no
469,yellow,none,night,happy,potter,smile,messi,ink,no
470,green,rhodes,bull,lost,tech,gurgaon,sumo,avatar,no
471,brown,muscat,ninja,bro,thug,love,travolta,avatar,no
472,dark-green,nice,kill,gotcha,vision,vape,alabama,machine,no
