number,background,beard,dress,eyes,eyewear,face,head,skin
189,blue,washington,sailor,happy,vegas,cheeky,rico,dalmation
190,yellow,none,lahore,sus,vision,love,travolta,plain
191,red,austin,lol,bro,none,bigo,panama,dalmation
192,blue,none,rio,what,miami,naples,jerusalem,plain
193,yellow,nice,eminem,btc,none,holmes,none,alien
194,purple,none,rio,what,gandhi,love,kazan,trippy
195,blue,muscat,bavaria,zobro,none,sic,rico,plain
196,yellow,washington,boston,where,none,gurgaon,devil,plain
197,brown,none,airforce,fire,none,lol,nj,plain
198,red,none,none,gotcha,none,smile,sumo,machine
199,brown,none,bavaria,where,tech,gurgaon,pods,alien
200,mint,none,hack,dead,party,smile,none,avatar
201,brown,none,malibu,bro,zorro,smile,nyc,trippy
202,purple,none,smart,bro,love,sic,london,plain
203,orange,none,rich,bro,none,naples,sparta,zombie
204,mint,none,la,bro,matrix,naples,paris,tiger
205,teal,muscat,sailor,gotcha,matrix,smile,travolta,avatar
206,dark-green,none,cupid,gotcha,zorro,vape,vegas,panda
207,orange,austin,jobs,bro,miami,love,pop,dalmation
208,red,none,guest,happy,zorro,lol,food,plain
209,teal,none,eminem,what,potter,bigo,none,avatar
210,green,washington,agra,sic,none,smile,none,tiger
211,brown,tehran,party,sus,none,candy,fireman,avatar
212,green,lebanon,popeye,lost,office,party,army,avatar
213,brown,none,bull,gotcha,none,smile,aantonop,dmt
214,brown,none,none,happy,matrix,naples,bravo,plain
215,green,nice,sicily,sus,office,lol,pop,avatar
216,purple,washington,none,happy,none,naples,army,dmt
217,brown,none,space,gotcha,android,smile,dream,plain
218,blue,tehran,ninja,fire,none,bigo,travolta,zombie
219,purple,none,none,happy,thug,lol,ride,plain
220,brown,none,boston,what,android,lol,noogle,zombie
221,brown,none,guantanamo,zobro,matrix,lol,food,machine
222,blue,none,agra,bro,zorro,gurgaon,none,tiger
223,purple,none,none,lost,machine,gurgaon,mexico,plain
224,mint,hulk,guest,bro,vision,lol,alabama,panda
225,teal,washington,eminem,fire,gandhi,smile,none,dalmation
226,red,muscat,rich,love,3d,lol,belair,ink
227,teal,muscat,none,love,none,seville,zoro,tiger
228,green,none,gala,happy,thug,nyc,pirate,plain
229,purple,nice,rio,bro,thug,candy,devil,dmt
230,red,washington,guest,bro,none,sic,bravo,plain
231,dark-green,none,jobs,where,potter,love,noogle,plain
232,dark-green,hulk,zobro,sic,gandhi,naples,messi,trippy
233,green,austin,airforce,love,party,cheeky,bravo,dmt
234,blue,none,amsterdam,sus,thug,love,military,zombie
235,brown,tehran,lahore,bro,tech,lol,messi,gold
236,mint,rhodes,btc,zobro,none,love,golf,trippy
237,red,rhodes,zobro,zobro,office,candy,minnesota,tiger
238,teal,muscat,agra,where,office,gurgaon,dream,dalmation
239,dark-green,none,hack,gotcha,office,smile,none,plain
240,yellow,none,jobs,zobro,none,sic,london,trippy
241,red,tehran,none,bro,xmen,smile,aantonop,dmt
242,dark-green,tehran,none,bro,none,smile,pop,plain
243,brown,lebanon,none,zobro,matrix,smile,oregon,trippy
244,brown,tehran,smart,bro,none,naples,nj,dmt
245,purple,none,jordan,sic,tech,cheeky,travolta,machine
246,green,lebanon,mib,bro,love,love,none,dalmation
247,orange,nice,la,what,vegas,smile,belair,dmt
248,dark-green,muscat,sicily,happy,office,naples,king,ink
249,yellow,none,taipei,gotcha,gold,bigo,hell,dalmation
250,dark-green,tehran,hawaii,bro,love,smile,london,dalmation
251,blue,moscow,monaco,dead,none,holmes,paris,plain
252,dark-green,moscow,bavaria,fire,gold,lol,none,tiger
253,mint,muscat,army,btc,none,smile,dream,plain
254,mint,nice,hawaii,happy,none,lol,vegas,trippy
255,blue,washington,night,eth,none,smile,messi,gold
256,dark-green,tehran,zobro,bro,3d,holmes,bravo,dalmation
257,brown,none,bull,fire,gold,naples,jerusalem,avatar
258,brown,muscat,btc,happy,none,mexico,pirate,plain
259,dark-green,hulk,king,fire,xmen,candy,minnesota,ink
260,blue,nice,la,happy,zorro,smile,pop,plain
261,purple,none,shinobi,sus,android,sic,none,avatar
262,blue,rhodes,army,what,gold,smile,aantonop,plain
263,purple,nice,jordan,fire,gandhi,smile,none,plain
264,mint,washington,airforce,dead,machine,bigo,music,dalmation
265,teal,none,none,happy,none,smile,ninja,machine
266,green,none,navy,what,thug,candy,bravo,dalmation
267,red,austin,bavaria,happy,potter,sic,none,avatar
268,yellow,muscat,hack,love,gandhi,cheeky,none,alien
269,purple,none,naruto,where,thug,nyc,bingham,ape
270,orange,none,army,happy,office,sic,pirate,ink
271,yellow,rhodes,la,bro,gandhi,smile,queen,dalmation
272,brown,washington,track,sic,miami,love,ride,plain
273,yellow,nice,guantanamo,sic,potter,party,crete,ink
274,mint,none,navy,zobro,potter,sic,fireman,trippy
275,green,none,samurai,sus,gold,bigo,london,plain
276,green,none,eminem,love,love,candy,none,dalmation
277,orange,muscat,none,bro,love,naples,ride,ape
278,green,none,la,gotcha,xmen,lol,scotland,gold
279,yellow,rhodes,fairbanks,gotcha,potter,smile,ride,alien
280,mint,muscat,zion,gotcha,tech,party,food,plain
281,teal,hulk,wallst,btc,none,smile,king,tiger
282,purple,nice,la,bro,potter,love,king,trippy
283,blue,none,knight,love,none,cheeky,monk,plain
284,orange,muscat,dead,bro,pirate,smile,food,machine
285,orange,none,la,sus,3d,naples,vegas,dmt
286,yellow,none,bavaria,bro,none,party,panama,tiger
287,yellow,moscow,hawaii,sus,thug,nyc,pirate,plain
288,mint,nice,airforce,fire,none,love,army,zombie
289,green,tehran,none,lost,vegas,gurgaon,golf,ink
290,teal,washington,cupid,love,xmen,smile,minnesota,panda
291,red,lebanon,taipei,zobro,tech,nyc,hell,dmt
292,purple,none,jdh,dead,android,lol,sparta,tiger
293,dark-green,nice,jdh,where,party,smile,panama,avatar
294,blue,lebanon,none,what,zorro,bigo,bravo,tiger
295,brown,none,malaga,happy,gandhi,smile,pods,trippy
296,red,none,malibu,btc,none,cheeky,pirate,plain
297,purple,none,amazon,gotcha,thug,bigo,rico,tiger
298,mint,rhodes,rio,love,thug,love,food,plain
299,mint,muscat,space,bro,gandhi,smile,aantonop,alien
300,purple,tehran,btc,bro,potter,love,popeye,plain
301,teal,washington,zobro,fire,none,naples,monk,ink
302,red,none,rio,happy,xmen,holmes,ride,dalmation
303,blue,none,mumbai,dead,party,naples,monk,plain
304,orange,tehran,kobe,where,pirate,cheeky,ninja,trippy
305,red,muscat,agra,what,thug,lol,music,tiger
306,red,none,night,gotcha,potter,lol,sparta,plain
307,dark-green,washington,eminem,happy,vegas,sic,none,tiger
308,teal,hulk,night,bro,office,bigo,nyc,alien
309,purple,austin,sicily,happy,vegas,naples,oregon,ape
310,brown,none,virginia,fire,party,sic,ride,plain
311,mint,none,party,bro,android,naples,rico,plain
312,teal,none,space,happy,none,nyc,samurai,ink
313,red,hulk,cold,bro,xmen,bigo,punk,avatar
314,yellow,moscow,space,gotcha,party,gurgaon,belair,plain
315,red,washington,la,bro,love,love,sumo,machine
316,orange,tehran,taipei,bro,gandhi,gurgaon,bravo,avatar
317,purple,washington,amazon,gotcha,matrix,naples,hell,plain
318,dark-green,none,smart,gotcha,party,mexico,fireman,plain
319,mint,rhodes,navy,gotcha,thug,lol,ride,trippy
320,blue,none,farming,fire,gandhi,party,alabama,plain
321,orange,lebanon,none,where,vegas,bigo,jerusalem,plain
322,brown,hulk,agra,gotcha,office,party,minnesota,avatar
323,brown,nice,sailor,bro,zorro,bigo,alabama,trippy
324,teal,none,law,gotcha,zorro,lol,noogle,ink
325,mint,tehran,knight,bro,potter,love,belair,plain
326,green,tehran,naruto,sic,zorro,smile,travolta,ink
327,blue,moscow,none,fire,zorro,love,dream,zombie
328,teal,none,naruto,sic,machine,nyc,pop,ink
329,brown,none,cupid,lost,gandhi,smile,military,panda
330,teal,none,venice,zobro,miami,nyc,devil,trippy
331,teal,lebanon,army,btc,none,love,none,ink
332,brown,tehran,rich,btc,none,420,sumo,avatar
333,blue,none,cold,what,party,cheeky,none,gold
334,orange,none,none,bro,potter,naples,kazan,plain
335,dark-green,none,none,happy,machine,cheeky,pirate,plain
336,yellow,rhodes,none,bro,party,cheeky,music,plain
337,red,washington,hack,bro,vision,bigo,none,dalmation
338,red,washington,gold,what,xmen,smile,belair,tiger
339,green,none,airforce,bro,vegas,lol,bingham,alien
340,orange,none,hack,happy,zorro,nyc,none,zombie
341,teal,none,cupid,bro,vision,naples,kazan,dmt
342,green,rhodes,cupid,zobro,3d,sic,none,zombie
343,purple,austin,gala,sus,matrix,gurgaon,ride,avatar
344,purple,muscat,kermit,gotcha,matrix,bigo,taproot,ink
345,teal,washington,smart,where,android,bigo,nj,ink
346,dark-green,washington,none,bro,vision,seville,food,zombie
347,dark-green,austin,bull,bro,vegas,lol,cairo,zombie
348,red,none,none,bro,none,gurgaon,sparta,dalmation
349,mint,none,airforce,bro,party,lol,monk,dmt
350,yellow,none,army,dead,3d,naples,nyc,dalmation
351,orange,nice,jdh,happy,matrix,cheeky,military,plain
352,yellow,rhodes,dead,btc,none,vape,kazan,trippy
353,red,none,malibu,where,3d,seville,messi,zombie
354,brown,none,rich,sus,none,lol,food,dalmation
355,purple,austin,amazon,sus,gandhi,cheeky,punk,avatar
356,purple,none,monaco,bro,gandhi,bigo,belair,tiger
357,teal,none,none,zobro,gandhi,party,samurai,alien
358,red,none,ninja,bro,tech,smile,dream,plain
359,mint,none,monaco,love,vegas,420,alabama,plain
360,orange,none,agra,gotcha,none,nyc,oregon,dmt
361,blue,none,ninja,gotcha,matrix,smile,london,dmt
362,mint,moscow,knight,bro,office,havana,mexico,ink
363,green,nice,jordan,bro,office,love,zoro,gold
364,brown,austin,eminem,love,pirate,vape,none,tiger
365,purple,none,poker,sus,tech,lol,punk,plain
366,blue,moscow,rich,what,matrix,smile,ride,dalmation
367,mint,none,space,where,potter,love,mexico,avatar
368,purple,tehran,eminem,where,tech,lol,none,gold
369,blue,none,zobro,zobro,machine,smile,queen,machine
370,mint,lebanon,guantanamo,bro,none,cheeky,popeye,ink
371,green,washington,jordan,what,zorro,cheeky,kazan,ink
372,teal,hulk,hawaii,happy,pirate,tobacco,cairo,plain
373,purple,tehran,none,bro,party,gurgaon,food,zombie
374,yellow,muscat,jordan,where,office,sic,paris,ink
375,orange,nice,rich,sic,pirate,seville,paris,dmt
376,purple,moscow,cold,happy,tech,smile,rico,gold
377,teal,nice,zion,lost,none,love,panama,plain
378,orange,none,samurai,zobro,office,havana,monk,panda
379,teal,washington,taipei,lost,vegas,smile,none,ink
380,purple,nice,space,gotcha,office,naples,messi,plain
381,yellow,none,agra,happy,party,lol,minnesota,alien
382,blue,austin,jdh,fire,tech,love,ride,plain
383,brown,none,fairbanks,love,party,lol,cairo,trippy
384,red,lebanon,army,love,none,candy,pop,dmt
385,orange,none,army,sus,gold,nyc,pods,tiger
386,red,none,none,love,android,lol,mexico,ape
387,green,none,none,bro,zorro,420,rico,plain
388,blue,none,lahore,fire,matrix,420,london,dalmation
389,yellow,none,jordan,bro,tech,smile,travolta,plain
390,teal,tehran,eminem,zobro,office,lol,none,trippy
391,red,none,gala,btc,none,vape,king,plain
392,orange,lebanon,boston,love,office,smile,rico,plain
393,dark-green,lebanon,sailor,sic,gandhi,cheeky,military,ape
394,purple,none,lol,happy,miami,smile,angel,tiger
395,brown,austin,knight,zobro,vision,cheeky,sparta,dmt
396,blue,none,king,sus,xmen,lol,dream,dalmation
397,green,hulk,hawaii,btc,none,smile,bingham,plain
398,red,none,none,happy,matrix,lol,zoro,plain
399,blue,hulk,gold,bro,machine,smile,none,tiger
400,mint,none,hawaii,sic,potter,love,bravo,ink
401,red,none,gold,sus,gold,smile,pods,avatar
402,blue,muscat,eminem,sus,android,smile,none,dalmation
403,orange,muscat,shinobi,zobro,machine,candy,aantonop,dmt
404,teal,none,farming,bro,gandhi,smile,kazan,alien
405,purple,none,poker,happy,none,lol,ninja,dalmation
406,teal,lebanon,none,gotcha,pirate,lol,minnesota,plain
407,teal,none,malaga,lost,none,holmes,king,trippy
408,red,none,la,where,matrix,holmes,panama,dalmation
409,dark-green,none,airforce,lost,zorro,gurgaon,travolta,dalmation
410,red,none,kermit,sic,none,smile,food,alien
411,purple,nice,popeye,fire,none,naples,zoro,plain
412,brown,none,none,lost,zorro,love,vegas,tiger
413,blue,muscat,taipei,sus,matrix,tobacco,ride,avatar
414,mint,none,monaco,happy,matrix,party,bravo,plain
415,yellow,none,virginia,sic,miami,nyc,none,avatar
416,purple,tehran,jobs,sic,party,cheeky,aantonop,gold
417,teal,tehran,monaco,happy,office,smile,food,dalmation
418,blue,muscat,none,bro,gold,tobacco,mexico,ink
419,green,none,sailor,eth,none,naples,fireman,plain
420,dark-green,none,kermit,sus,none,smile,oregon,plain
421,teal,none,army,fire,android,lol,zoro,plain
422,orange,hulk,agra,love,xmen,bigo,crete,tiger
423,green,none,jobs,bro,pirate,naples,golf,avatar
424,dark-green,rhodes,none,zobro,potter,bigo,travolta,ink
425,green,muscat,track,bro,none,cheeky,angel,ink
426,green,tehran,zion,fire,xmen,cheeky,paris,ink
427,brown,austin,samurai,happy,none,naples,king,tiger
428,red,none,space,fire,love,party,noogle,avatar
429,green,none,amazon,bro,love,smile,mexico,plain
430,blue,lebanon,kill,zobro,zorro,sic,military,plain
431,brown,moscow,mumbai,btc,none,candy,paris,trippy
432,blue,austin,space,bro,none,lol,messi,avatar
433,dark-green,rhodes,space,bro,tech,love,mexico,ink
434,blue,nice,bavaria,what,3d,lol,noogle,gold
435,blue,muscat,sicily,love,party,bigo,oregon,panda
436,red,none,army,where,love,smile,bingham,dmt
437,teal,muscat,btc,what,love,smile,travolta,plain
438,mint,tehran,rio,bro,xmen,naples,athens,dmt
439,blue,none,night,btc,none,candy,bingham,avatar
440,brown,moscow,amsterdam,what,xmen,party,nyc,ape
441,teal,none,none,gotcha,party,lol,samurai,plain
442,orange,none,rich,where,tech,cheeky,oregon,zombie
443,teal,muscat,cupid,btc,none,sic,travolta,tiger
444,green,moscow,kobe,gotcha,none,gurgaon,ride,panda
445,dark-green,none,none,dead,android,cheeky,sumo,tiger
446,purple,washington,malaga,happy,none,bigo,army,tiger
447,purple,rhodes,eminem,sus,miami,sic,none,tiger
448,yellow,austin,zobro,bro,tech,cheeky,music,zombie
449,brown,muscat,fairbanks,sus,none,nyc,bingham,tiger
450,blue,none,law,bro,love,smile,pop,avatar
451,teal,none,jdh,zobro,party,lol,army,ink
452,teal,nice,venice,bro,xmen,love,london,gold
453,red,tehran,none,zobro,matrix,smile,bingham,machine
454,orange,none,samurai,bro,party,lol,dream,avatar
455,brown,muscat,kill,happy,gandhi,seville,music,dmt
456,teal,austin,boston,gotcha,miami,smile,bravo,tiger
457,orange,none,samurai,sus,party,lol,belair,tiger
458,red,none,la,happy,gold,naples,samurai,plain
459,teal,lebanon,navy,happy,none,lol,rico,plain
460,blue,austin,none,happy,none,gurgaon,military,ink
461,blue,moscow,malibu,love,miami,sic,queen,machine
462,orange,tehran,none,eth,none,havana,pirate,ape
463,red,none,army,bro,party,nyc,none,dalmation
464,mint,hulk,track,what,vegas,smile,food,ape
465,mint,muscat,agra,bro,zorro,candy,bravo,plain
466,purple,none,samurai,lost,office,smile,dream,ink
467,red,rhodes,none,gotcha,none,smile,minnesota,plain
468,dark-green,none,zobro,love,xmen,candy,mexico,tiger
469,yellow,none,night,happy,potter,smile,messi,ink
470,green,rhodes,bull,lost,tech,gurgaon,sumo,avatar
471,brown,muscat,ninja,bro,thug,love,travolta,avatar
472,dark-green,nice,kill,gotcha,vision,vape,alabama,machine
473,brown,austin,hack,happy,pirate,love,none,ink
474,blue,moscow,guantanamo,bro,xmen,cheeky,mexico,tiger
475,red,moscow,none,sus,none,bigo,angel,avatar
476,mint,none,gala,love,3d,bigo,army,plain
477,green,rhodes,space,happy,miami,vape,nyc,plain
478,mint,nice,jdh,eth,none,smile,military,dmt
479,mint,none,naruto,sic,gandhi,gurgaon,taproot,dalmation
480,green,none,boston,dead,pirate,holmes,travolta,tiger
481,dark-green,nice,guantanamo,love,office,party,golf,ink
482,brown,none,space,bro,none,naples,pods,trippy
483,red,none,luffy,zobro,party,candy,scotland,dalmation
484,mint,muscat,puffer,zobro,machine,smile,pirate,zombie
485,yellow,none,none,lost,potter,smile,kazan,machine
486,blue,none,airforce,happy,tech,tobacco,bravo,tiger
487,orange,rhodes,jobs,sic,android,gurgaon,zoro,alien
488,brown,none,cupid,what,3d,lol,athens,plain
489,brown,none,mumbai,sus,miami,vape,food,ink
490,brown,nice,hack,what,potter,seville,none,plain
491,brown,rhodes,none,what,party,nyc,popeye,trippy
492,orange,muscat,saul,fire,miami,cheeky,cairo,tiger
493,dark-green,lebanon,dead,eth,none,love,military,zombie
494,yellow,austin,guest,gotcha,zorro,smile,army,ink
495,yellow,hulk,btc,bro,none,holmes,none,trippy
496,green,muscat,none,where,party,smile,samurai,machine
497,purple,austin,none,sus,android,lol,devil,avatar
498,red,muscat,rich,zobro,xmen,smile,food,zombie
499,green,nice,none,bro,party,candy,army,zombie
500,purple,none,bavaria,gotcha,none,candy,none,tiger
501,red,none,ninja,where,matrix,smile,zoro,dalmation
502,dark-green,nice,navy,where,none,havana,angel,ape
503,blue,muscat,kermit,eth,none,smile,zoro,ink
504,blue,washington,night,bro,vegas,sic,army,panda
505,blue,austin,saul,dead,miami,party,monk,dalmation
506,blue,none,hawaii,happy,none,nyc,minnesota,machine
507,dark-green,nice,rich,eth,none,cheeky,pirate,plain
